151,35,2.1,225,201,14,44,150,423,50,48,62,167,100,114,294,29,179,128,18428392,-12.5,34.1,83457,214,215,231,243,284,301,336,399,358,337,341,417,444,358,320,281,212,203,40158,55404,28389,12596,2389200,5320600,8600,186900
72,7.4,0.7,62,72,3.2,4.9,30,105,14,6.6,13,35,24,27,73,7.7,40,35,4474760,-8.6,36.6,9645,51,56,64,67,58,66,76,89,86,87,97,109,115,85,86,72,56,52,9711,16030,5924,2679,501200,1336100,1200,37100
69,8.8,0.9,54,93,3.3,6.6,34,103,14,5.8,13,33,21,27,75,7.5,29,25,4096965,-12.4,35.8,15279,49,50,58,62,60,62,73,79,77,86,86,99,106,91,86,84,63,55,9745,15756,5724,2327,479500,1294400,1800,36100
47,8.9,0.1,98,139,7.5,24,69,196,24,17,24,63,40,57,105,6.8,64,40,8045272,-6.1,35.5,6862,100,95,103,117,138,145,158,165,150,143,143,170,167,131,121,111,90,83,19126,21932,11972,4667,883800,2297800,2300,50200
48,0.7,0.5,49,72,2.2,5.2,23,84,11,4.9,9.2,28,20,20,64,5.4,25,22,3526125,-7.2,35,11636,40,38,44,46,41,49,62,61,55,65,79,85,91,70,76,69,61,51,6688,14288,4281,1795,383100,1057900,700,28000
53,0.7,0.4,51,117,1.8,5.3,23,92,9.1,6.4,9.7,30,21,24,63,6.7,25,21,3739070,-8,37.2,6652,44,46,49,55,52,64,63,73,58,69,80,85,88,70,69,73,69,55,8651,14084,5159,1887,385200,1136900,1000,31900
70,2.8,1.3,79,197,7.7,8.2,45,135,17,11,22,47,34,42,94,7.6,50,28,7126334,-6.2,37.6,13783,78,87,103,108,92,104,121,118,118,124,143,148,152,120,112,118,93,79,16126,22747,9582,3965,703100,1986600,1900,42200
88,1.5,0.4,108,283,6.1,27,78,214,31,18,56,71,61,62,127,7.2,77,47,11188477,-6.5,36.1,6096,120,132,147,152,152,168,182,219,196,190,181,215,227,191,158,131,98,93,23989,28615,15044,5693,1056300,2913200,4800,55600
52,0.1,0.4,80,236,4.9,12,48,154,20,12,35,56,41,43,88,7.3,47,25,7807794,-5.5,37.2,6408,83,87,93,96,100,117,135,142,125,124,136,153,158,122,103,87,70,65,16473,19712,10616,3898,723300,1970600,1600,36500
55,0.3,0.3,73,217,6.0,14,45,156,22,11,22,52,39,38,105,7.7,43,30,7427842,-4.3,38.5,6362,86,92,94,92,94,110,116,144,135,119,122,135,163,141,113,94,75,72,16023,20385,9679,3865,733300,1971800,1300,36300
62,0,0.6,269,559,14,134,234,609,106,80,117,178,128,156,296,14,219,113,20108381,-5.2,37.9,3768,307,310,326,362,426,428,477,591,529,445,420,483,569,482,384,277,173,156,59437,55487,39160,14325,2764500,7091800,3300,103100
83,4.2,1.8,219,347,14,128,205,506,99,71,106,166,117,123,252,10,187,95,19005963,-1.1,37.3,5082,270,271,286,286,357,391,425,515,456,389,352,397,479,424,329,249,155,137,51633,50014,34785,12391,2450400,6126100,4900,91000
32,0.8,1.4,345,563,22,427,282,914,228,217,318,370,224,256,485,15,396,160,91139263,-0.4,37.2,2103,526,478,479,540,823,961,1017,1159,1020,894,717,741,867,754,646,539,358,323,108135,104238,91196,26335,6327000,12979400,12400,182300
45,1.9,0.4,303,585,15,252,246,682,124,118,200,245,155,187,376,15,281,125,29757052,-0.3,35.6,2416,400,381,387,415,521,584,664,773,710,603,497,558,654,577,454,356,233,210,78077,67760,54203,17830,3795100,8899300,13000,150200
70,1.5,2.4,120,204,7.4,16,55,196,23,14,24,61,43,45,131,9.5,58,36,8606775,-3.7,35.1,10364,85,100,113,116,95,112,142,160,143,137,151,178,189,148,143,133,114,103,18083,26618,11018,3438,836000,2322300,1300,52700
18,1.4,0.5,51,127,4.3,10,24,89,14,6.9,12,35,23,23,62,6.3,27,14,4370400,-2.8,37.6,2046,42,49,51,42,47,59,66,78,69,62,66,79,98,76,62,55,47,45,8188,11875,4928,1569,365200,1069700,600,23700
15,2.9,0.4,51,103,2.9,10,28,96,14,9.7,13,36,21,29,68,4.7,34,19,4264966,-2,35.5,4186,50,53,58,55,60,59,69,85,75,72,68,77,101,75,57,56,43,44,9602,11607,5829,1817,427100,1136200,1000,33800
15,1.2,0.1,41,92,3.7,6.4,20,63,9.9,3.4,10,25,15,20,47,3.8,22,13,3302825,-3,37.1,4190,31,35,41,40,36,42,50,48,50,51,57,57,65,52,43,40,32,30,6874,8417,3705,1233,268800,788600,500,17900
30,0,0.4,34,82,1.9,5.1,16,67,12,6.9,8.8,29,18,20,39,4.6,22,17,3123259,-6.5,37.5,4201,36,39,42,43,46,38,53,59,58,59,52,62,64,56,45,41,33,34,6651,9268,4221,1693,314000,846500,500,16200
112,0.1,0.5,84,223,5.8,16,43,166,23,12,21,67,40,45,114,9.8,49,31,8024077,-9.7,35.9,13105,82,100,115,102,85,97,123,144,141,140,125,143,171,148,124,115,100,93,17233,23133,10318,3636,777800,2113700,1700,39000
30,0.2,0.2,79,238,6.1,13,49,168,27,9.9,26,64,45,44,101,9.1,53,29,7093400,-3.5,37.7,9768,88,98,105,97,99,115,128,149,128,126,123,138,174,136,118,102,81,67,16887,20220,10087,3395,714300,2046500,1200,34700
78,5.1,0.9,150,476,7.3,25,95,299,38,23,54,117,72,73,169,13,95,56,15765640,-2.6,36.3,7255,156,171,179,176,170,198,231,269,249,237,232,266,312,250,214,178,138,117,31896,36420,20323,7241,1363000,3699000,1900,66100
76,3.6,0.4,256,899,19,73,213,613,81,58,102,211,117,149,303,18,191,90,31642329,-2.2,38,5116,359,348,358,352,417,463,505,618,543,459,424,442,549,464,371,293,191,160,69872,58477,45039,14253,2894000,7308400,4100,100100
30,6.6,0.6,60,209,5.5,11,48,134,19,8.9,20,52,37,39,85,7.3,47,28,7368128,-0.6,37.9,5762,72,76,93,93,89,94,100,129,125,125,107,127,147,126,115,98,73,55,15262,18691,9396,3461,694000,1817100,1100,37600
16,0.4,0.2,42,176,3.4,9.3,34,104,14,8.1,16,38,24,28,65,4.7,33,20,6013854,-2.4,37.5,3767,64,77,75,73,87,78,89,108,94,87,81,89,109,88,62,55,43,39,13363,11602,7691,2466,503100,1393400,500,16900
24,0.5,0.2,71,194,6.2,22,60,215,26,26,38,87,45,74,130,5.0,64,39,9372569,-2.5,38.1,4613,109,113,118,122,156,141,168,195,172,152,148,163,219,177,150,124,89,82,21234,23714,13664,4964,1085300,2580700,1500,56000
17,0.6,0.3,278,605,16,99,227,693,101,108,118,227,133,164,397,16,229,87,36384314,-1.3,37.4,1898,381,390,413,412,485,534,569,715,654,546,473,549,700,617,515,382,237,202,75080,76556,51242,20752,3752100,8724000,6100,138900
50,2.4,0.3,176,451,12,52,142,421,66,51,83,146,89,118,264,13,143,73,18346170,-0.9,36.3,8396,237,252,274,264,276,296,351,430,378,345,328,381,447,371,299,255,190,160,47834,51568,29752,10738,2209100,5487500,4100,101700
15,0,0,37,98,4.8,13,24,111,19,13,17,31,25,35,71,4.3,39,24,3551806,-4.1,36.9,3691,52,63,73,75,72,71,77,100,97,91,81,96,119,95,80,68,43,38,10694,13036,6595,2602,516600,1372300,1300,27700
